# Resultado da query (F) — tabela public.alarm
# Customer: f3455100-8360-11ef-a17c-dfe898a3f1e0 (Obramax Praia Grande)
# Janela: 2026-05-18 00:00:00 a 2026-05-21 00:00:00 GMT-3 (dias 18, 19 e 20)
# Coletado em: 2026-05-20 ~11:50 (GMT-3)
# Origem: INVESTIGACAO_Alarme_OBRAMAX_PraiaGrande.md §9.5 query (F)
# NOTA: a coluna duracao_seg usa end_ts-start_ts; como end_ts nao avanca nestes
#       alarmes, mostra ~0 — a duracao real e clear_ts-start_ts (ver analise no .md §9.6).

id                                  |device_name                                   |device_profile                     |alarm_type              |severity|acknowledged|cleared|inicio                 |ultima_atualizacao     |encerrado_em           |duracao_seg|originator_id                       |
------------------------------------+-----------------------------------------------+------------------------------------+------------------------+--------+------------+-------+-----------------------+-----------------------+-----------------------+-----------+------------------------------------+
9826345a-2da7-45e6-9c7f-4d732b6376d0|Motor Ligado (PG)                             |Obramax - Gerador ligado           |Bomba Ligada            |CRITICAL|false       |false  |2026-05-20 11:50:21.000|2026-05-20 11:50:21.000|                       |       46.5|68c8aee1-f143-11ef-a212-67802bff4221|
74f02e9a-9fec-4c7e-8f88-375745d9211b|Motor Ligado (PG)                             |Obramax - Gerador ligado           |Bomba Ligada            |CRITICAL|false       |true   |2026-05-20 11:46:50.000|2026-05-20 11:46:52.000|2026-05-20 11:50:16.000|        1.8|68c8aee1-f143-11ef-a212-67802bff4221|
986104c4-3880-4567-89c4-a7846493fc46|Auto. Selet. 50% Drive e Cer (H) (PG)         |Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |true   |2026-05-20 11:46:47.000|2026-05-20 11:46:47.000|2026-05-20 11:47:15.000|        0.0|21f74b00-ec69-11ee-9378-6b50e3ef4c75|
640f3372-e810-4d44-bbbe-deb8f12b8bf6|Auto. Selet. 50% Drive e Cer (G) (PG)         |Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |true   |2026-05-20 11:46:47.000|2026-05-20 11:46:47.000|2026-05-20 11:47:15.000|        0.0|21f50110-ec69-11ee-9378-6b50e3ef4c75|
85bcd5a5-d195-466f-b20e-a06ed1055faa|Auto. Selet. 50% Central e Fundo Loja (E) (PG)|Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |true   |2026-05-20 11:46:46.000|2026-05-20 11:46:48.000|2026-05-20 11:50:56.000|        1.3|21cba720-ec69-11ee-9378-6b50e3ef4c75|
d8129274-3a46-42e6-9a78-1a32ac1d2ee6|Auto. Selet. 50% Central e Fundo Loja (F) (PG)|Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |true   |2026-05-20 11:46:46.000|2026-05-20 11:46:48.000|2026-05-20 11:50:56.000|        1.3|21cdf110-ec69-11ee-9378-6b50e3ef4c75|
cd8c6e72-0ffe-4d47-a6ec-f6ebbf511fef|Auto. Selet. Ilum Externa (I) (PG)            |Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |false  |2026-05-20 11:46:46.000|2026-05-20 11:46:46.000|                       |      261.7|3811af70-ead9-11ee-8327-cfc6eea1d65a|
0d62eeae-ce57-4076-92c9-eb80481fac58|Motor Ligado (PG)                             |Obramax - Gerador ligado           |Bomba Ligada            |CRITICAL|false       |true   |2026-05-20 11:28:11.000|2026-05-20 11:28:11.000|2026-05-20 11:28:18.000|        0.0|68c8aee1-f143-11ef-a212-67802bff4221|
61adb498-f76c-409e-b85c-ccf086902e7f|Motor Ligado (PG)                             |Obramax - Gerador ligado           |Bomba Ligada            |CRITICAL|false       |true   |2026-05-20 11:22:10.000|2026-05-20 11:22:10.000|2026-05-20 11:27:26.000|        0.0|68c8aee1-f143-11ef-a212-67802bff4221|
6680a27f-c50a-4fef-93a5-6b8179683bc2|Motor Ligado (PG)                             |Obramax - Gerador ligado           |Bomba Ligada            |CRITICAL|false       |true   |2026-05-20 11:16:37.000|2026-05-20 11:16:37.000|2026-05-20 11:22:03.000|        0.0|68c8aee1-f143-11ef-a212-67802bff4221|
bd427e67-ef75-46e3-a3c4-99849ec82d2d|Motor Ligado (PG)                             |Obramax - Gerador ligado           |Bomba Ligada            |CRITICAL|false       |true   |2026-05-20 11:15:59.000|2026-05-20 11:15:59.000|2026-05-20 11:16:31.000|        0.0|68c8aee1-f143-11ef-a212-67802bff4221|
c4d4848b-a478-4942-a353-6347cbf68400|Auto. Ar Exter ADM (PG)                       |Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |true   |2026-05-20 07:42:57.000|2026-05-20 07:43:14.000|2026-05-20 07:43:44.000|       16.8|44e8e2e0-ead9-11ee-8327-cfc6eea1d65a|
9536a97c-f81b-4967-8ab0-b72ac803bb50|Aut. Selet. Exaust (PG)                       |Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |false  |2026-05-20 06:52:00.000|2026-05-20 11:47:09.000|                       |    17947.7|11a0fcb0-ead9-11ee-8327-cfc6eea1d65a|
c3fbf72b-1a19-49d9-a5a5-b0717be31488|Auto. Selet. Ilum Externa (I) (PG)            |Obramax - Chaves Seletoras         |Chave seletora em manual|MAJOR   |false       |true   |2026-05-20 03:28:04.000|2026-05-20 03:28:04.000|2026-05-20 03:29:58.000|        0.0|3811af70-ead9-11ee-8327-cfc6eea1d65a|
