SELECT to_timestamp(ts/1000) AT TIME ZONE 'America/Sao_Paulo' AS momento,
         str_v,
         round((ts - lag(ts) OVER (ORDER BY ts))/1000.0/60, 1) AS min_desde_anterior
  FROM ts_kv
  WHERE entity_id = '68c8aee1-f143-11ef-a212-67802bff4221'   -- Motor Ligado (PG)
    AND key = 58
    AND ts >= 1779134400000 AND ts < 1779192000000           -- 18/05 17:00 → 19/05 09:00 GMT-3
  ORDER BY ts;

---

momento                |str_v       |min_desde_anterior|
-----------------------+------------+------------------+
2026-05-18 17:01:15.000|not_detected|                  |
2026-05-18 17:01:22.000|not_detected|               0.1|
2026-05-18 17:06:47.000|not_detected|               5.4|
2026-05-18 17:06:54.000|not_detected|               0.1|
2026-05-18 17:12:21.000|not_detected|               5.4|
2026-05-18 17:12:27.000|not_detected|               0.1|
2026-05-18 17:17:54.000|not_detected|               5.4|
2026-05-18 17:18:00.000|not_detected|               0.1|
2026-05-18 17:23:19.000|not_detected|               5.3|
2026-05-18 17:23:26.000|not_detected|               0.1|
2026-05-18 17:28:45.000|not_detected|               5.3|
2026-05-18 17:28:52.000|not_detected|               0.1|
2026-05-18 17:34:17.000|not_detected|               5.4|
2026-05-18 17:34:24.000|not_detected|               0.1|
2026-05-18 17:39:50.000|not_detected|               5.4|
2026-05-18 17:39:58.000|not_detected|               0.1|
2026-05-18 17:45:23.000|not_detected|               5.4|
2026-05-18 17:45:31.000|not_detected|               0.1|
2026-05-18 17:50:56.000|not_detected|               5.4|
2026-05-18 17:51:03.000|not_detected|               0.1|
2026-05-18 17:56:21.000|not_detected|               5.3|
2026-05-18 17:56:28.000|not_detected|               0.1|
2026-05-18 18:02:01.000|not_detected|               5.6|
2026-05-18 18:02:08.000|not_detected|               0.1|
2026-05-18 18:06:05.000|detected    |               4.0|
2026-05-18 18:06:08.000|detected    |               0.0|
2026-05-18 18:07:42.000|not_detected|               1.6|
2026-05-18 18:07:48.000|detected    |               0.1|
2026-05-18 18:13:35.000|not_detected|               5.8|
2026-05-18 18:14:02.000|detected    |               0.5|
2026-05-18 18:21:19.000|not_detected|               7.3|
2026-05-18 18:21:26.000|detected    |               0.1|
2026-05-18 18:28:42.000|not_detected|               7.3|
2026-05-18 18:28:50.000|detected    |               0.1|
2026-05-18 18:36:27.000|not_detected|               7.6|
2026-05-18 18:36:34.000|detected    |               0.1|
2026-05-18 18:43:58.000|not_detected|               7.4|
2026-05-18 18:44:04.000|detected    |               0.1|
2026-05-18 18:51:28.000|not_detected|               7.4|
2026-05-18 18:51:35.000|detected    |               0.1|
2026-05-18 18:58:45.000|not_detected|               7.2|
2026-05-18 18:58:52.000|detected    |               0.1|
2026-05-18 19:06:30.000|not_detected|               7.6|
2026-05-18 19:06:36.000|detected    |               0.1|
2026-05-18 19:14:00.000|not_detected|               7.4|
