Name,Type,Profile,Customer,Status,Created
" (Campinas Shopping)","default","","Campinas Shopping","Inactive","15/07/2025"
" (Dimension)","default","","","Inactive","14/07/2025"
" (Ilha Plaza)","default","","","Active","23/06/2025"
" (Mestre Álvaro)","default","","","Inactive","12/08/2025"
" (Praia da Costa)","default","","Praia da Costa","Active","12/01/2026"
" 3F Chiller Q02 (Park Lagos)","default","","Park Lagos","Inactive","11/03/2025"
" 3F Chiller Q02 x200a (Park Lagos)","default","","Park Lagos","Active","11/03/2025"
" 3F QG 01 x400a (Park Lagos)","default","","Park Lagos","Active","11/03/2025"
" 3FQG 01 x400a (Park Lagos)","default","","Park Lagos","Inactive","11/03/2025"
" BAC-02 (Mestre Álvaro)","default","","","Inactive","12/08/2025"
" Exaust. Cozinha  (Benfica)","default","","Benfica","Active","26/02/2025"
" Gerador ligado (Piracicaba)","default","","Piracicaba","Inactive","16/05/2025"
" SW Ilum  5° Andar (Anhanguera Niterói)","default","","","Inactive","24/09/2024"
" Temp.Open Space (Mooca)","default","","Mooca","Active","30/08/2025"
"(Central Pedra de Itauna)","default","","","Inactive","26/03/2025"
"(N) Central Ilha Plaza Agregadora","Centrais","","","Active","17/10/2024"
"(N) Ilha Plaza AL1","default","","","Inactive","16/10/2024"
"(Praia da Costa)","3F_MEDIDOR","","Praia da Costa","Inactive","29/10/2025"
"0 (BB Campos dos Goytacazes)","default","","BB Campos dos Goytacazes","Inactive","01/07/2025"
"0 - Presença (Raiz Educação)","default","","Raiz Educação","Inactive","02/06/2025"
"1 (Anhanguera Niterói)","default","","","Inactive","02/04/2025"
"1 (BB Campos dos Goytacazes)","default","","BB Campos dos Goytacazes","Inactive","01/07/2025"
"1 (Raiz Educação)","Raiz Educação - Consumo","","Raiz Educação","Active","13/05/2025"
"1 - Presença (Raiz Educação)","default","","Raiz Educação","Active","21/05/2025"
"10 (BB Campos dos Goytacazes)","default","","BB Campos dos Goytacazes","Inactive","01/07/2025"
"10 (Raiz Educação)","Raiz Educação - Consumo","","Raiz Educação","Active","13/05/2025"
